time,aX,aY,aZ
75.5,-1000.49,0.98,2.93
75.6,-1011.23,-3.91,13.67
75.7,-1016.11,-17.58,10.74
75.8,-1001.46,-8.79,4.39
75.9,-998.05,-5.37,17.58
76,-997.07,-8.79,18.07
76.1,-1001.95,-28.32,-1.46
76.2,-1005.37,-14.65,11.72
76.3,-1010.25,-24.9,8.3
76.4,-1009.28,-14.16,13.67
76.5,-1000.49,-8.79,0.49
76.6,-992.68,-19.04,6.84
76.7,-997.56,-9.28,10.74
76.8,-1010.25,-10.74,13.67
76.9,-997.07,-5.86,13.67
77,-1012.21,-19.04,13.18
77.1,-1013.67,-20.51,12.7
77.2,-993.65,-7.32,11.23
77.3,-1003.42,0,6.35
77.4,-1005.37,-11.23,7.81
77.5,-1000.49,-8.3,16.11
77.6,-1014.16,-10.74,-0.98
77.7,-1012.7,-13.18,11.23
77.8,-1008.3,-13.18,19.53
77.9,-997.56,-3.91,15.63
78,-1000.49,-6.84,15.14
78.1,-1009.77,0,10.25
78.2,-1001.46,0,14.16
78.3,-995.12,-13.67,1.95
